BRAND & NAME,Quick Access Pocket (#),Additional Notes,Bag Style Opening,Compression Straps,Depth (inches),Expandable,Expandable Volume,Handles,Height (inches),LINKS,Laptop Access,Lash Points (outside),Load Lifters,Luggage Pass Through / Trolley Sleeve,Material,Max. Laptop Size (in),Org Slots/Pockets,Origin of Company,Packable,Picture,Price (USD),QAP Location,Sternum Strap,Type,Volume (liters),WBP Location,Warranty,Water Bottle Pockets (#),Weight (lbs),Width (inches)
5.11 Rush 12 2.0,2,"External front and side molle.
Waist strap sold separately.",Clamshell,2,6.5,No,No,1,18,https://www.511tactical.com/rush12-2-0-backpack.html&sa=D&source=editors&ust=1740763375907952&usg=AOvVaw0yMNy0PJm3cGjXT2gac4ga,Internal sleeve,4,No,No,1050D Nylon MultiCam 1000D Nylon,15,No,USA,No,https://4elementsclothing.co.uk/cdn/shop/products/511-tactical511-tactical-511-tactical-rush-12-20-backpack-with-laptop-compartment-style-56561bag56561-019-421496.jpg?v=1706925240&width=1536,110,front & side,Yes,Backpack,24,No,2 years,0,3.2,11
5.11 Tactical RUSH 24 2.0,3,MOLLE platform throughout; CCW pocket; rear hydration compartment; back panel ventilation channels,Clamshell,2,8,No,,1,20,https://www.511tactical.com/rush24-2-0-backpack.html,Internal sleeve,>10,No,No,1050D Nylon,16,Yes,USA,No,"https://www.511tactical.com/media/catalog/product/5/6/56563abr_560_02.jpg?quality=100&bg-color=255,255,255&fit=bounds&height=855&width=855",140,front & top,Yes,Backpack,37,No,2 years,0,3.85,12.5
5.11 Tactical RUSH 72 2.0,2,MOLLE platform; CCW pocket; hydration compartment; waist strap; aluminum stay bar reinforced back panel; 3-day/extended range pack,Clamshell,no,8.5,No,,1,23,https://www.511tactical.com/rush72-2-0-backpack.html,Internal sleeve,>10,No,No,1050D Nylon,15,Yes,USA,No,"https://www.511tactical.com/media/catalog/product/5/6/56565_134_rush72-2point0_01_2.jpg?quality=100&bg-color=255,255,255&fit=bounds&height=855&width=855",190,front & top,Yes,Backpack,55,No,2 years,0,5.29,13.5
Able Carry Daily Backpack,1,".5 hidden cash pocket
diagnoal front pocket",Half Zip,no,7.5,No,No,1,19,https://ablecarry.com/products/daily-backpack?variant%3D31828597047409&sa=D&source=editors&ust=1740763375909795&usg=AOvVaw1jgNpO-TVYADLjWMHufC3j,Internal sleeve,4,No,No,Nylon 1000D or X-PAC VX21,16,Yes,Hongkong,No,https://ablecarry.com/cdn/shop/products/Daily-Backpack-Cordura-NavyRight_900x.png?v=1695971609,160,top,Yes,Backpack,20,front,Lifetime,1,2,11
Able Carry Daily Plus,1,Hidden water-bottle pocket.,Half Zip,no,7.5,No,No,1,19.5,https://ablecarry.com/products/daily-plus?variant%3D49465862226232&sa=D&source=editors&ust=1740763375911407&usg=AOvVaw3Ettf0kzlfXKFs034TbHWt,Internal sleeve,>10,No,No,X-PAC VX21 or Cordura,16,Yes,Hongkong,No,https://suburban.com.hk/cdn/shop/files/DailyPlusX-PacCoyoteBrown_Right_1100x_5985f799-4af9-486e-a6cb-86e58da841d2.png?v=1713772162,179,top,Yes,Backpack,21,Side,Lifetime,1,2.6,11.5
Able Carry Daybreaker 2,1,,Half Zip,no,7.5,No,No,2,19.7,https://ablecarry.com/products/daybreaker-2?variant=44113323229496,Internal sleeve,>10,No,No,Ripstop or X-PAC,15,No,Hongkong,No,https://www.feverguy.com/cdn/shop/products/Daybreaker2-X-PacOliveGreen-2.png?v=1681830216,139,side,Yes,Backpack,25,Side,Lifetime,1,1.4,10.2
Able Carry Max EDC,1,"Card slot in strap.
Waist belt separate.
Removable framesheet.",Clamshell,no,7.5,No,No,3,19.5,https://ablecarry.com/products/max-edc?variant%3D49140367753528&sa=D&source=editors&ust=1740763375912993&usg=AOvVaw2qI-K6N0CVsXllOavVnEmq,External compartment,>10,No,No,Ripstop or X-PAC,17,No,Hongkong,No,https://www.mukama.com/cdn/shop/files/blue.jpg?v=1727755924&width=1214,280,top,Yes,Backpack,26,Side,Lifetime,1,3.4,12
Able Carry Max EDC 30L,1,"Card slot in strap.
Waist belt separate.
Removable framesheet.",Clamshell,no,7.9,No,No,3,20.4,https://ablecarry.com/products/max-edc?variant%3D49140367753528&sa=D&source=editors&ust=1740763375912993&usg=AOvVaw2qI-K6N0CVsXllOavVnEmq,External compartment,>10,No,No,Ripstop or X-PAC,17,No,Hongkong,No,https://ablecarry.com/cdn/shop/products/EarthGreenRight_1100x.png?v=1718895055,334,top,Yes,Backpack,30,Side,Lifetime,1,3.9,12.6
Able Carry Max EDC 32L,1,"Card slot in strap.
Waist belt separate.
Removable framesheet.",Clamshell,no,8.7,Yes,32,3,20.4,https://ablecarry.com/products/max-edc?variant%3D49140367753528&sa=D&source=editors&ust=1740763375912993&usg=AOvVaw2qI-K6N0CVsXllOavVnEmq,External compartment,>10,No,No,Ripstop or X-PAC,17,No,Hongkong,No,https://ablecarry.com/cdn/shop/files/MaxBackpack32LRipstopBlack-Left_1680x.png?v=1747390701,336,top,Yes,Backpack,32,Side,Lifetime,1,3.9,12.6
Able Carry Max Pack,1,Lockable zips,Clamshell,no,8,No,No,1,20.5,https://ablecarry.com/products/max?variant%3D32104084078705&sa=D&source=editors&ust=1740763375914775&usg=AOvVaw3-SRX386FW_82-RGyjgSzm,External compartment,no,No,No,X-PAC and Cordura 1000D Nylon,17,Yes,Hongkong,No,https://ablecarry.com/cdn/shop/products/EarthGreenRight.png?v=1718895055,278,top,Yes,Backpack,30,Side,Lifetime,1,3.7,12.5
Able Carry Stash Pouch,1,"Designed to keep pens, toiletries, and loose knick-knacks in check. Matches backpack fabrics.",,,2.36,,,0,4.33,https://ablecarry.com/products/stash-pouch-cordura-black,,,,,Cordura Re or Cor or X-PAC or Ripstop,,,Hongkong,,https://ablecarry.com/cdn/shop/files/StashPouch_X-PacCoyoteBrown_1.png?v=1760002862&width=3840,23,,,Pouch,,,Lifetime,,0.08,7.87
Able Carry Thirteen Daybag,1,Hidden pocket on strap and rear.,Half Zip,no,6.5,No,No,1,17.5,https://ablecarry.com/products/thirteen-daybag?variant%3D47332905648440&sa=D&source=editors&ust=1740763375916356&usg=AOvVaw2d2b6-VgKudN27vQZaMqE0,Internal sleeve,no,No,No,X-PAC,14,Yes,Hongkong,No,https://suburban.com.hk/cdn/shop/files/ThirteenDaybagCorduraRipstopTan-Right.png?v=1713853827,178,front,Yes,Backpack,13,Side,Lifetime,1,1.4,10.5
AER City Pack 2,2,,Clamshell,no,5.5,No,No,3,18,https://aersf.com/collections/city-collection/products/city-pack-2?country=US,Internal sleeve,4,No,Yes,1680D Cordura Ballistic Nylon,16,Yes,USA,No,https://aersf.com/cdn/shop/products/aer_citypackpro_olive.jpg?v=1678853911,149,top & front,Yes,Backpack,16,Side,Lifetime,1,2.5,12
Aer City Pack 2 - Ultra,2,,Clamshell,no,5.5,No,No,3,18,https://aersf.com/collections/city-collection/products/city-pack-2-ultra?country=US,Internal sleeve,4,No,Yes,Ultra400X,16,Yes,USA,No,https://cld.accentuate.io/55116116197755/1740757178178/AER91053_citypackpro2_ultra_34hero.png?v=1740757178178&options=w_1728,199,top & front,Yes,Backpack,16,Side,Lifetime,1,2.1,12
Aer City Pack 2 - X-PAC,2,,Clamshell,no,5.5,No,No,3,18,https://aersf.com/collections/city-collection/products/city-pack-2-x-pac?country=US,Internal sleeve,4,No,Yes,X-PAC VX-42,16,Yes,USA,No,https://cld.accentuate.io/55116120195451/1740757350933/AER29059_citypack2_xpac_34hero.png?v=1740757350934&options=w_1728,179,top & front,Yes,Backpack,16,Side,Lifetime,1,2.3,12
Aer City Pack Pro 2,2,,Clamshell,no,7,No,No,3,18,https://aersf.com/collections/city-collection/products/city-pack-pro-2?country=US,External compartment,6,No,Yes,1680D Cordura Ballistic Nylon or X-PAC,16,Yes,USA,No,https://cld.accentuate.io/55116095291771/1740753541480/AER21060_citypackpro2_black_34hero.png?v=1740753541480&options=w_1728,209,top & side,Yes,Backpack,24,Side,Lifetime,2,2.9,12.5
Aer City Pack Pro 2 - ULTRA,2,,Clamshell,no,7,No,No,3,18,https://aersf.com/collections/city-collection/products/city-pack-pro-2-ultra?country=US,External compartment,6,No,Yes,Ultra400X,16,Yes,USA,No,https://cld.accentuate.io/55116116197755/1740757178178/AER91053_citypackpro2_ultra_34hero.png?v=1740757178178&options=w_1728,259,top & side,Yes,Backpack,24,Side,Lifetime,2,2.6,12.5
Aer City Pack Pro 2 - X-PAC,2,,Clamshell,no,7,No,No,3,18,https://aersf.com/collections/city-collection/products/city-pack-pro-2-x-pac?country=US,External compartment,6,No,Yes,X-PAC VX-42,16,Yes,USA,No,https://cld.accentuate.io/55116122489211/1740757034641/AER29060_citypackpro2_xpac_34hero.png?v=1740757034641&options=w_1728,239,top & side,Yes,Backpack,24,Side,Lifetime,2,2.7,12.5
Aer City Pack Pro 2 20L,2,Removable keychain,Clamshell,No,7,No,No,2,17.5,https://aersf.com/products/city-pack-pro-2-20l,External compartment,1,No,Yes,1680D Cordura Nylon,16,Yes,USA,No,https://cld.accentuate.io/42596331585632/1774548736764/AER21063_1_citypackpro220l_black_34hero.jpg?v=1774904760398&options=w_900,199,Top & Front,Yes,Backpack,20,Side,Lifetime,2,2.73,12
AER City Sling 2,2,Stowaway sling strap with Fidlock® magnetic fastener,,no,3.5,No,No,1,4.75,https://aersf.com/collections/city-collection/products/city-pack-2?country=US,Not dedicated,2,No,No,1680D Cordura Ballistic Nylon,No,Yes,USA,No,https://cld.accentuate.io/47965543498009/1708450279701/AER21031_citysling2_black_34hero.png?v=1708450279702&options=w_720,89,front & back,No,Sling,2.5,No,Lifetime,0,0.88,13
AER City Sling 3,2,,,no,3,No,No,1,5,https://aersf.com/collections/city-collection/products/city-pack-2?country=US,Not dedicated,2,No,No,1680D Cordura Ballistic Nylon,No,Yes,USA,No,https://cld.accentuate.io/55116127863163/1740756272448/AER21061_citysling3_black_34hero.png?v=1740756272449&options=w_720,89,front & back,No,Sling,2,No,Lifetime,0,0.8,13
Aer Day Pack 3,1,Structured standing design; hidden smart tracker pocket; water-resistant main zipper; suspended laptop pocket; bluesign approved materials; recycled nylon lining;,Toploader,no,5.5,No,,2,17.25,https://aersf.com/products/day-pack-3,Internal sleeve,no,No,Yes,1680D Cordura Ballistic Nylon or 840D Nylon,16,Yes,USA,No,https://cld.accentuate.io/40296782757984/1708907030144/1-AER31014_daypack3_34hero.jpg?v=1708907030144&options=w_900,159,top,No,Backpack,14,Side,Lifetime,1,2.8,12
AER Day Sling 3,2,,,no,3,No,No,,6,https://aersf.com/collections/city-collection/products/city-pack-2?country=US,Not dedicated,3,No,No,1680D Cordura Ballistic Nylon,No,Yes,USA,No,https://cld.accentuate.io/47965567910169/1708533931670/AER21026_daysling3_black_34hero.png?v=1708533931670&options=w_720,79,front & back,No,Sling,3,No,Lifetime,0,0.8,11.5
AER Day Sling 3 Max,2,,,no,3.5,No,No,,9,https://aersf.com/collections/city-collection/products/city-pack-2?country=US,Internal sleeve,4,No,No,X-PAC VX-42,11,Yes,USA,No,https://aersf.co.uk/cdn/shop/files/AER29038_daysling3max_xpac_34hero_900x.jpg?v=1698160500,119,front & back,No,Sling,6,No,Lifetime,0,1,12
Aer Flight Pack 3,1,"Can shoulder carry, and hide backpack straps
Lockable zippers",Half Zip,no,5.5,No,No,2,18,https://aersf.com/collections/backpacks/products/flight-pack&sa=D&source=editors&ust=1740763375926931&usg=AOvVaw2xIc4cOrVpYYsYdqBtx0NL,Internal sleeve,no,No,Yes,1680D Cordura Ballistic Nylon,16,Yes,USA,No,https://cld.accentuate.io/47429091066137/1709831016877/AER21037_flightpack3_black_34hero.png?v=1709831016877&options=w_1728,180,top,No,Backpack,20,Side,Lifetime,1,3.4,12
AER Go Pack 2,1,"Designed to pack flat inside luggage or carry-on backpacks
Front mesh stash pocket",Half Zip,no,5.5,No,No,1,17,https://www.aersf.com/go-pack-2-black&sa=D&source=editors&ust=1740763375928771&usg=AOvVaw133VEiD6gNyv91wqItl_6t,Internal sleeve,no,No,No,210D Cordura crinkle Nylon,16,No,USA,Yes,https://cld.accentuate.io/47965648879897/1708621606729/AER21042_gopack2_black_34hero.png?v=1708621606730&options=w_1728,100,top,No,Backpack,20,Side,Lifetime,2,1.3,11
AER Go Sling 2,0,,,no,2,No,No,1,5,https://aersf.com/collections/city-collection/products/city-pack-2?country=US,Not dedicated,1,No,No,210D Cordura crinkle Nylon,No,Yes,USA,Yes,https://cld.accentuate.io/47965664379161/1708699335495/AER21044_gosling2_black_34hero.png?v=1708699335495&options=w_720,69,No,No,Sling,2.4,No,Lifetime,0,0.3,9.5
Aer Pro Pack 20L,1,,Clamshell,no,5.5,No,No,4,17.5,https://aersf.com/collections/pro-collection/products/pro-pack-20l?variant%3D39641632374880%26country%3DUS&sa=D&source=editors&ust=1740763375930423&usg=AOvVaw3tjmRbdRH8MnKQMz7C2a87,External compartment,no,No,No,840D Cordura re or cor Nylon (Recycled),16,Yes,USA,No,https://images.squarespace-cdn.com/content/v1/5362a66ee4b05f0813543305/1678486016926-15XBA14622NW1ZSCOT22/AER65001_propack20l_olive_34hero.jpg?format=1000w,180,top,Yes,Backpack,20,Side,Lifetime,2,2.4,12
Aer Pro Pack 24L,1,,Clamshell,no,7.5,No,No,4,18.5,https://aersf.com/collections/pro-collection/products/pro-pack-24l?country%3DUS&sa=D&source=editors&ust=1740763375931918&usg=AOvVaw0S3P_wznVSSGADmUJ3QqEm,External compartment,no,No,No,840D Cordura re or cor Nylon (Recycled),16,Yes,USA,No,https://cld.accentuate.io/39611783118944/1677704568915/AER61002_propack24l_black_34hero.jpg?v=1677704568915&options=w_900,200,top,Yes,Backpack,24,Side,Lifetime,2,2.8,12.5
AER Pro Sling,1,Reversible quick-adjust shoulder strap for left or right shoulder use,,no,3.5,No,No,1,7,https://aersf.com/collections/city-collection/products/city-pack-2?country=US,Internal sleeve,2,No,No,840D Cordura re or cor Nylon (Recycled),8,Yes,USA,No,https://cld.accentuate.io/47429128454425/1709828852395/AER61003_prosling_black_34hero.png?v=1709828852395&options=w_720,79,back,No,Sling,4.5,No,Lifetime,0,0.66,11.5
AER Street Sling,2,,,no,3,No,No,1,5.5,https://aersf.com/collections/city-collection/products/city-pack-2?country=US,Not dedicated,2,No,No,1680D Cordura Ballistic Nylon,No,Yes,USA,No,https://cld.accentuate.io/55503944712571/1749465280853/AER21075_streetsling_black_front.png?v=1749465280854&options=w_720,69,front & back,No,Sling,2.4,No,Lifetime,0,0.6,8
Aer Tech Pack 3,1,Structured standing design; hidden smart tracker pocket; water-resistant laptop compartment zipper; quick-access laptop pocket separate from main compartment; bluesign approved materials; recycled nylon lining,Toploader,no,7,No,,2,18,https://aersf.com/products/tech-pack-3,External compartment,no,No,Yes,1680D Cordura Ballistic Nylon or 840D Nylon,16,Yes,USA,No,https://cld.accentuate.io/40296834596960/1708705896546/1-AER31015_techpack3_34hero.jpg?v=1708705896546&options=w_900,219,top,No,Backpack,16,Side,Lifetime,1,3.2,12.25
Aer Tech Pack 3 X-Pac,1,,Half Zip,4,7,No,No,3,18,https://aersf.com/collections/backpacks/products/tech-pack-3-x-pac&sa=D&source=editors&ust=1740763375935136&usg=AOvVaw2QABtHxqhz9XVACXgNglLV,External compartment,no,No,No,X-PAC VX-42 also in 1680D Cordura Ballistic nylo,16,Yes,USA,No,https://aersf.co.uk/cdn/shop/files/1AER31015_techpack3_34hero_1200x.png?v=1710413684,250,top,Yes,Backpack,16,Side,Lifetime,1,3,12
AER Tech Sling 3,1,,,no,4,No,No,1,10.25,https://aersf.com/collections/city-collection/products/city-pack-2?country=US,Internal sleeve,no,No,No,1680D Cordura Ballistic Nylon,14,Yes,USA,No,https://aersf.co.uk/cdn/shop/files/1AER31017_techsling3_34hero_720x.png?v=1710413802,119,back,No,Sling,9,No,Lifetime,0,1.3,15
Aer Travel Pack 3 Small,2,Lockable zippers,Clamshell,4,7.5,No,No,3,19,https://aersf.com/collections/travel-collection/products/travel-pack-3-small&sa=D&source=editors&ust=1740763375938696&usg=AOvVaw3JmNxYuPazbTIfwijdXfY5,External compartment,1,Yes,Yes,700D Cordura,16,Yes,USA,No,https://cld.accentuate.io/47429148082457/1709833240650/AER21032_travelpack3_black_34hero.png?v=1709833240651&options=w_1728,230,top & side,Yes,Backpack,28,Side,Lifetime,1,3.6,13
Aer Travel Pack 3 X-Pac,2,"Hip belt sold separately
Lockable zippers",Clamshell,4,8.5,No,No,3,21.5,https://www.aersf.com/travel-pack-3-black&sa=D&source=editors&ust=1740763375940432&usg=AOvVaw2xRjD290nZCK0VgjuHrnB5,External compartment,2,Yes,Yes,X-PAC VX-42 also in 1680D Cordura Ballistic Nylon,16,Yes,USA,No,https://aersf.co.uk/cdn/shop/files/AER29032_travelpack3_xpac_34hero_1200x.jpg?v=1699212951,250,top & side,Yes,Backpack,35,Side,Lifetime,1,3.9,13
AER Travel Sling 2,2,,,no,4.5,No,No,1,11,https://aersf.com/collections/city-collection/products/city-pack-2?country=US,Internal sleeve,2,No,Yes,1680D Cordura Ballistic Nylon,16,Yes,USA,Yes,https://cld.accentuate.io/47965808754969/1709054869279/AER21013_travelsling2_black_34hero.png?v=1709054869279&options=w_720,119,front & back,No,Sling,12,No,Lifetime,0,2,16
Almond Oak Backpack 25L + 5L,2,,Clamshell,no,7,Yes,30,3,17,,External compartment,no,No,Yes,80D Nylon PU-Coated Water-Resistant or 100D Nylon,16,Yes,UK,No,https://almondoak.com/cdn/shop/files/DylanProduct-1.jpg?v=1741380349&width=1100,115,front & back,Yes,Backpack,25,Side,Not specified,1,1.77,13
ALPAKA Admin Pouch Pro,7,Quick-draw external access. Clamshell opening. HUB compatible.,,,1.2,,,0,4.5,https://alpakagear.com/products/admin-pouch-pro,,Yes,,,Axogrid 300D or X-PAC X42,,yes,Australia,,https://alpakagear.com/cdn/shop/files/AdminPouchProXpacX42Green_0002.jpg?v=1749622070&width=1000,45,,,Pouch,0.5,,Lifetime,,0.24,6.7
Alpaka Aero Pack 16L,3,,Half Zip,no,5.9,No,no,1,17.3,https://alpakagear.com/products/bravo-totepack,Internal sleeve,2,No,Yes,,16,Yes,Australia,No,https://alpakagear.com/cdn/shop/files/AeroBackpackAxoflux210DBlack_0001.jpg?v=1758081534&width=1000,109,front (2x) & back,No,Backpack,16,No,Lifetime,0,1.6,11.4
Alpaka Bravo Backpack 23L,2,,Half Zip,no,7.1,No,No,1,18.5,https://alpakagear.com/products/bravo-backpack-23l,Internal sleeve,1,No,Yes,X-PAC or Axoflux 600D Polyester (Recycled),16,Yes,Australia,No,https://alpakagear.com/cdn/shop/files/BRAVOBACKPACKWEBHERO.jpg?v=1739507460&width=1000,159,front & back,Yes,Backpack,23,Side,Lifetime,2,2.6,11.8
Alpaka Bravo Totepack,1,Lots of tech organisation. Straps can be stashed away/hidden,Half Zip,no,4,No,no,1,17.7,https://alpakagear.com/products/bravo-totepack,Internal sleeve,2,No,Yes,,16,Yes,Australia,No,https://alpakagear.com/cdn/shop/files/BRAVOTOTEPACKAXOBLUEHERO.jpg?v=1724407360&width=1000,139,front,No,Backpack,13,Side,Lifetime,1,2.2,12.5
Alpaka Elements Backpack Pro,1,Lockable zippers,Half Zip,no,7,No,No,1,19,https://alpakagear.com/products/elements-backpack-pro&sa=D&source=editors&ust=1740763375943792&usg=AOvVaw2wJ0t8OjEnMv7ekvspwL8N,Internal sleeve,no,No,No,X-PAC VX42 or Axoflux POLY 600D (Recycled),16,Yes,Australia,No,https://alpakagear.com/cdn/shop/files/ELEMENTS_BACKPACK_PRO_VX42_GREEN_HERO_NEW.jpg?v=1738054904&width=1000,170,top,Yes,Backpack,26,Side,Lifetime,2,2.9,12
Alpaka Elements Tech Brief Pro,1,tech brief/messenger that can be carried like backpack. Lots of tech organisation. Straps can be stashed away/hidden,Toploader,no,4.7,No,no,1,16.5,https://alpakagear.com/products/elements-tech-brief-pro,Internal sleeve,no,No,Yes,Axoflux POLY 600D (Recycled),16,Yes,Australia,No,https://www.mukama.com/cdn/shop/files/TECHBRIEFPROV2AXOFLUX600DGREEN.jpg?v=1725452502,139,front,No,Backpack,15,,Lifetime,0,3,12.2
ALPAKA HUB Pouch Pro,11,"HUB system compatible. 6 internal slip pockets, 5 stretch loops.",,,1,,,0,3.4,https://alpakagear.com/products/hub-pouch-pro,,Yes,,,X-PAC X42 or Axogrid 300D,,yes,Australia,,https://alpakagear.com/cdn/shop/files/HUBPOUCHPROAXOGRIDGREEN3.jpg?v=1754381084&width=1000,49,,,Pouch,0.5,,Lifetime,,0.14,4.9
Alpaka Metro Backpack,1,front compartment and overall bag has lots of tech organisation,Half Zip,no,6.1,No,no,1,16.5,https://alpakagear.com/products/metro-backpack,Internal sleeve,2,No,No,Axoflux POLY 300D (Recycled),14,Yes,Australia,No,https://alpakagear.com/cdn/shop/files/METRO_BACKPACK_AXOFLUX_GREY_WEBSELECT_12.jpg?v=1739410965&width=1000,95,front,No,Backpack,12,,Lifetime,0,1.8,9.8
Alpaka Metro Backpack Pro,1,"Axoflux version weighs 3.3lbs, front compartment and overall bag has lots of tech organisation. Has molle inside",Half Zip,no,7.9,No,no,1,18,https://alpakagear.com/products/metro-backpack-pro,External compartment,2,No,Yes,X-PAC or Axoflux 600D Polyester (Recycled),16,Yes,Australia,No,https://alpakagear.com/cdn/shop/files/METROBACKPACK24LAXOGREENSTOREPHOTO.jpg?v=1726208799&width=1000,229,front,Yes,Backpack,24,,Lifetime,0,2.9,11
ALPAKA Modular Shoulder Pocket Max,3,Wear across the shoulder or attach to belt/bag. Quick-draw back sleeve.,,,2,,,0,7.7,https://alpakagear.com/products/modular-shoulder-pocket-max,,Yes,,,Axoflux 400D,,yes,Australia,,https://alpakagear.com/cdn/shop/files/ModularShoulderPocketMaxAxoflux400DGreen_WashedNylon__0001.jpg?v=1763298519&width=1000,49,,,Pouch,1,,Lifetime,,0.38,3.9
Alpaka Travel Backpack,2,Lockable zippers,Clamshell,2,8,No,No,1,20.5,https://alpakagear.com/products/elements-travel-backpack,Internal sleeve,4,No,No,X-PAC VX42 or Axoflux POLY 600D (Recycled),16,Yes,Australia,No,https://alpakagear.com/cdn/shop/files/TRAVEL_BACKPACK_AXOFLUX_GREEN_14d786ae-5d91-4004-96f5-b1e1859b48ed.jpg?v=1739409894&width=1000,300,front & side,Yes,Backpack,35,Side,Lifetime,1,3.5,12
Alpaka Traverse,4,,Clamshell,no,7.1,No,no,2,18.5,https://alpakagear.com/products/metro-backpack,External compartment,6,No,Yes,Axoflux 400D Ripstop Nylon in Black or Green or Moonlight Blue,17,Yes,Australia,No,https://alpakagear.com/cdn/shop/files/TraverseBackpackAxoflux400DGreen_0001.jpg?v=1763610529&width=1000,199,top & front & side,Yes,Backpack,30,Side,Lifetime,1,3.3,11
ALPAKA Zip Pouch,2,RFID blocking material. Main compartment with an internal divider.,,,1,,,0,3.4,https://alpakagear.com/products/zip-pouch,,No,,,X-PAC VX21,,yes,Australia,,https://alpakagear.com/cdn/shop/files/ZIPPOUCHVX42GREEN.jpg?v=1747208257&width=1000,35,,,Pouch,0.15,,Lifetime,,0.09,5.1
Alpha One Niner (AON) Evade 1.5 Backpack,1,"Internal PALS web.
Removable compression straps.
Hip belt sold separately.",Clamshell,2,5.5,No,No,1,18.5,https://www.alphaoneniner.com/collections/bags-cases/products/alpha-one-niner-evade-1-5-backpack&sa=D&source=editors&ust=1740763375948871&usg=AOvVaw2WP7ke5Pw4j0zeu19LFz68,External compartment,>10,No,No,X-PAC X42 or 500D or 630D HD,16,Yes,USA,No,https://www.alphaoneniner.com/cdn/shop/files/AON-Evade15-Coyote_Brown-1000x1000-01_1800x1800.jpg?v=1702664737,255,front,Yes,Backpack,25,Side,5 years,2,3.4,12
Alpha One Niner (AON) Whitley Backpack,1,,Clamshell,no,6,No,No,1,18.5,https://www.alphaoneniner.com/products/whitley&sa=D&source=editors&ust=1740763375952363&usg=AOvVaw0MoKrbsXOxQq1ryPgEHyQL,External compartment,2,No,No,X-PAC X42 or 500D or 1050D Ballistic Nylon,16,Yes,USA,No,https://www.alphaoneniner.com/cdn/shop/files/IMG_0977_1800x1800.jpg?v=1725601858,200,front,Yes,Backpack,20,Side,5 years,2,2.6,11
Alpha One Niner Evade 1.0,2,Carryology award-winning; horizontal luggage pass-through; stretch 40oz side WBP; sealed laptop compartment accessed via top quick-access zipper; internal PALS row; adjustable back panel stiffness; Savannah lining on Ultra 400TX variant,Clamshell,no,5.5,No,,1,18.5,https://www.alphaoneniner.com/products/alpha-one-niner-evade-1-0-backpack,External compartment,no,No,Yes,X-PAC X42 or Ultra 400TX or 500D options,16,Yes,USA,No,https://www.alphaoneniner.com/cdn/shop/files/AON_Evade_1-0_X42OL_3-4_5bc7f514-fe22-44d6-b499-cce276d8fdb6_1800x1800.jpg?v=1767998143,239,front,Yes,Backpack,21,Side,5 years,2,3.38,12
Alpha One-Niner (AON) SERT Penumbra 2.0,2,,Clamshell,2,6,No,No,1,18,https://www.alphaoneniner.com/en-gb/products/sert-penumbra-2-0-backpack,External compartment,>10,Yes,No,1000D Cordura Nylon,15,No,USA,No,https://www.alphaoneniner.com/cdn/shop/files/SERT-PENUM-GY-01_1800x1800.jpg?v=1735436112,185,top & front,Yes,Backpack,21,Side,5 years,2,3.1,12
Arc'teryx Granville 16,1,,Clamshell,no,5,No,No,1,18.7,https://arcteryx.com/us/en/shop/granville-16-backpack-9624,Internal sleeve,1,No,No,400d Ripstop Nylon w F (Recycled),15,No,Canada,No,https://m.media-amazon.com/images/I/81R8PcjPDxL._AC_UY580_.jpg,200,top,Yes,Backpack,16,No,5 years,0,1.7,9.1
Arc'teryx Granville 25,1,,Toploader,no,5.5,No,No,1,19.2,https://arcteryx.com/us/en/shop/granville-25-backpack-9625,Internal sleeve,no,No,No,400d Ripstop Nylon w F (Recycled),15,No,Canada,No,https://www.bfgcdn.com/1500_1500_90/502-7049/arcteryx-granville-25-backpack-daypack.jpg,220,front,Yes,Backpack,25,No,5 years,0,1.9,13.4
Arc'teryx Mantis 16,1,,Half Zip,no,8.5,No,No,1,17.7,https://arcteryx.com/us/en/shop/mantis-16-backpack,Internal sleeve,2,No,No,Polyester (Recycled),16,No,Canada,No,https://www.ldmountaincentre.com/images/arcteryx-mantis-16-backpack-p44142-248929_image.jpg,120,top,Yes,Backpack,16,Side,5 years,2,1.5,10.2
Arc'teryx Mantis 26,1,Frame sheet and aluminum stay,Half Zip,no,10,No,No,1,18.5,https://arcteryx.com/us/en/shop/mantis-26-backpack&sa=D&source=editors&ust=1740763375953798&usg=AOvVaw1kZVu_LxOm2D63JWgW3-B1,Internal sleeve,2,No,No,420d HD Nylon plain weave,17,No,Canada,No,https://www.bfgcdn.com/1500_1500_90/502-5181-1411/arcteryx-mantis-26-backpack-daypack.jpg,160,top,Yes,Backpack,26,Side,5 years,2,1.9,11
Arktype Dashpack 15L,2,"1 strip of molle bottom front
15"" laptop can go in main compartment
Shoulder harness has no strap dangle
Passport pocket inside laptop compartment
Internal d-rings",Half Zip,2,4.5,No,No,1,18.5,https://www.arktypedesign.com/products/dashpack-black&sa=D&source=editors&ust=1740763375956800&usg=AOvVaw2OQCWLM7j9UIjFVadZVSqG,External compartment,>10,No,No,1680D Ballistic Nylon or YKK AquaGuard zippers or 210D double-walled Ripstop Nylon,15,No,USA,No,https://www.arktypedesign.com/cdn/shop/products/ARKTYPE_Dashpack_Backpack_-_Black_-_Perspective_800x.jpg?v=1531353195,198,front & back,No,Backpack,15,Side,Lifetime,2,2,11
